Span,Span_Len,Span_Max,Span_Min,Span_Std,Link,Link_Len,Link_Max,Link_Min,Link_Std,SNR,MF
49.0,5.0,50.0,45.0,2.0,5.0,1.0,5.0,5.0,0.0,17.38,16
72.625,8.0,80.0,41.0,13.628439932728911,10.5,2.0,13.0,8.0,2.5,14.82,8
77.0,18.0,80.0,51.0,8.51143022320247,8.0,3.0,14.0,2.0,4.898979485566356,11.79,4
64.21739130434783,23.0,80.0,35.0,13.367567896052616,14.0,4.0,15.0,12.0,1.224744871391589,12.21,4
74.0,7.0,80.0,47.0,11.451762185046332,18.0,2.0,19.0,17.0,1.0,15.32,16
77.0,16.0,80.0,45.0,8.580501150865256,13.333333333333334,3.0,23.0,7.0,6.944222218666553,12.55,4
66.26666666666667,15.0,70.0,35.0,9.855398971573342,6.5,2.0,8.0,5.0,1.5,13.98,8
74.3076923076923,13.0,80.0,30.0,13.852989765526681,22.333333333333332,3.0,41.0,10.0,13.424687043734847,12.97,8
75.0909090909091,11.0,80.0,30.0,14.304827827469778,24.0,2.0,42.0,6.0,18.0,13.49,8
63.93333333333333,15.0,80.0,45.0,13.901878370285873,17.5,4.0,27.0,12.0,5.678908345800274,13.41,8
66.5,20.0,80.0,45.0,13.86903024728117,12.0,4.0,20.0,8.0,4.898979485566356,12.55,4
69.36363636363636,22.0,80.0,35.0,12.352936546518567,11.25,4.0,16.0,7.0,3.2691742076555053,12.33,4
71.66666666666667,21.0,80.0,55.0,5.634361698190112,12.0,2.0,15.0,9.0,3.0,12.66,4
70.875,8.0,80.0,51.0,10.902264672993406,8.0,2.0,13.0,3.0,5.0,15.36,16
64.21739130434783,23.0,80.0,35.0,13.367567896052616,9.0,4.0,12.0,7.0,2.1213203435596424,12.5,4
65.6923076923077,26.0,80.0,35.0,13.297684097874484,15.0,5.0,21.0,11.0,3.40587727318528,11.79,4
80.0,7.0,80.0,80.0,0.0,4.0,1.0,4.0,4.0,0.0,15.69,16
78.07692307692308,13.0,80.0,55.0,6.661733875264914,9.5,2.0,15.0,4.0,5.5,13.45,8
74.2,30.0,80.0,45.0,11.628700127987935,15.0,4.0,35.0,0.0,13.019216566291536,10.55,4
72.8,30.0,80.0,45.0,8.40396731708701,9.0,5.0,21.0,3.0,6.6932802122726045,10.76,4
72.33333333333333,9.0,80.0,41.0,14.499042113954363,5.5,2.0,6.0,5.0,0.5,14.82,8
71.4,10.0,80.0,47.0,10.983624174196786,15.0,3.0,19.0,9.0,4.320493798938574,14.51,8
73.75,28.0,80.0,55.0,6.068801952845154,6.0,3.0,11.0,1.0,4.08248290463863,10.92,4
63.93333333333333,15.0,80.0,45.0,13.901878370285873,15.5,4.0,19.0,9.0,3.840572873934304,13.62,8
69.58823529411765,17.0,80.0,56.0,5.891757188493607,10.666666666666666,3.0,19.0,4.0,6.236095644623235,13.28,8
75.05555555555556,18.0,80.0,30.0,13.542001420363823,18.0,3.0,37.0,5.0,13.73559851869101,12.29,4
54.6,15.0,70.0,45.0,9.42903317772648,3.3333333333333335,3.0,4.0,2.0,0.9428090415820634,14.43,8
66.5,20.0,80.0,45.0,13.86903024728117,11.25,4.0,18.0,8.0,3.960744879438715,12.38,4
75.13333333333334,15.0,80.0,56.0,7.126164622166836,21.666666666666668,3.0,37.0,8.0,11.897712198383164,13.0,8
76.41666666666667,12.0,80.0,41.0,10.735131836896814,23.5,2.0,43.0,4.0,19.5,13.5,8
79.33333333333333,6.0,80.0,76.0,1.4907119849998596,41.0,1.0,41.0,41.0,0.0,15.27,16
65.6923076923077,26.0,80.0,45.0,9.404455698351102,11.0,4.0,17.0,7.0,3.9370039370059056,12.06,4
75.54166666666667,24.0,80.0,45.0,8.770115766371363,14.6,5.0,35.0,4.0,11.429785649783637,10.99,4
52.60606060606061,33.0,60.0,41.0,4.867576049984994,9.5,2.0,17.0,2.0,7.5,13.02,8
66.31818181818181,22.0,80.0,35.0,10.7127212553214,10.333333333333334,3.0,17.0,5.0,4.988876515698588,12.38,4
66.70588235294117,17.0,70.0,35.0,9.33535156956264,6.0,2.0,8.0,4.0,2.0,13.25,8
49.608695652173914,23.0,50.0,41.0,1.8353800799309072,8.0,1.0,8.0,8.0,0.0,14.49,8
70.0,15.0,70.0,70.0,0.0,3.0,1.0,3.0,3.0,0.0,13.79,8
70.0,5.0,80.0,50.0,12.649110640673518,15.5,2.0,17.0,14.0,1.5,16.37,16
71.66666666666667,21.0,80.0,30.0,12.403276576827183,12.4,5.0,35.0,2.0,11.672189169131899,11.46,4
56.0,32.0,80.0,41.0,12.881673027988251,5.333333333333333,3.0,7.0,4.0,1.247219128924647,12.45,4
51.96153846153846,26.0,80.0,41.0,8.276383310967368,11.0,2.0,13.0,9.0,2.0,13.21,8
68.0,14.0,70.0,56.0,4.898979485566356,3.5,2.0,6.0,1.0,2.5,13.91,8
72.8,15.0,80.0,30.0,13.202020047452335,20.333333333333332,3.0,41.0,10.0,14.613540144521982,12.85,8
72.07407407407408,27.0,80.0,35.0,10.309743417168361,18.4,5.0,35.0,10.0,8.593020423576334,11.13,4
75.0909090909091,11.0,80.0,51.0,10.448614918686987,11.5,2.0,15.0,8.0,3.5,13.94,8
77.0,13.0,80.0,60.0,6.348833932911799,28.0,3.0,42.0,19.0,10.03327796219494,13.01,8
71.9090909090909,11.0,80.0,41.0,13.819975960080034,11.666666666666666,3.0,16.0,5.0,4.784233364802441,13.93,8
64.86666666666666,15.0,80.0,45.0,15.187129053540334,18.25,4.0,21.0,16.0,2.277608394786075,13.2,8
71.10526315789474,19.0,80.0,30.0,12.875495848774158,15.0,4.0,35.0,6.0,11.683321445547923,12.2,4
76.58823529411765,17.0,80.0,41.0,9.592023791423001,19.0,3.0,35.0,3.0,13.063945294843617,11.93,4
71.94444444444444,18.0,80.0,35.0,10.156947388212345,6.5,2.0,10.0,3.0,3.5,12.67,4
64.21739130434783,23.0,80.0,35.0,13.367567896052616,11.25,4.0,16.0,8.0,2.947456530637899,12.28,4
52.60606060606061,33.0,60.0,41.0,4.867576049984994,7.0,2.0,13.0,1.0,6.0,12.81,8
66.5,10.0,70.0,35.0,10.5,6.0,1.0,6.0,6.0,0.0,15.16,8
54.72727272727273,33.0,70.0,35.0,9.798802423032106,5.0,2.0,7.0,3.0,2.0,12.92,8
70.0,5.0,80.0,50.0,12.649110640673518,11.5,2.0,12.0,11.0,0.5,16.35,16
69.66666666666667,21.0,80.0,49.0,5.139328595516968,7.333333333333333,3.0,9.0,6.0,1.247219128924647,12.44,4
63.93333333333333,15.0,80.0,45.0,13.901878370285873,18.5,4.0,32.0,12.0,7.88986691902975,13.18,8
64.21739130434783,23.0,80.0,35.0,13.367567896052616,13.0,4.0,15.0,10.0,1.8708286933869707,12.14,4
75.13333333333334,15.0,80.0,56.0,7.126164622166836,28.333333333333332,3.0,46.0,17.0,12.657891697365017,12.55,4
56.18421052631579,38.0,70.0,35.0,10.328436125463718,7.0,3.0,8.0,5.0,1.4142135623730951,11.92,4
67.66666666666667,15.0,80.0,35.0,12.498888839501781,7.5,2.0,11.0,4.0,3.5,13.3,8
75.54166666666667,24.0,80.0,45.0,8.770115766371363,16.8,5.0,42.0,4.0,14.218298069740976,11.13,4
77.0,3.0,80.0,71.0,4.242640687119285,20.0,1.0,20.0,20.0,0.0,17.14,16
77.0,8.0,80.0,60.0,6.557438524302,25.0,2.0,35.0,15.0,10.0,14.66,8
64.6470588235294,17.0,80.0,45.0,14.150207549800184,12.666666666666666,3.0,19.0,8.0,4.642796092394707,13.1,8
52.60606060606061,33.0,60.0,41.0,4.867576049984994,6.5,2.0,10.0,3.0,3.5,13.13,8
64.53125,32.0,80.0,35.0,12.237198349193331,14.333333333333334,6.0,20.0,3.0,5.557777333511022,11.32,4
67.66666666666667,15.0,80.0,35.0,12.498888839501781,11.0,2.0,15.0,7.0,4.0,13.59,8
64.86666666666666,15.0,80.0,45.0,15.187129053540334,12.25,4.0,20.0,7.0,4.815340071064556,13.45,8
75.0,7.0,80.0,51.0,10.014275524755362,10.0,2.0,12.0,8.0,2.0,15.09,8
68.5,28.0,80.0,35.0,10.884129993448521,11.5,4.0,16.0,4.0,4.716990566028302,11.58,4
49.608695652173914,23.0,50.0,41.0,1.8353800799309072,10.0,1.0,10.0,10.0,0.0,14.43,8
71.0,7.0,80.0,47.0,14.252819269985048,12.0,2.0,17.0,7.0,5.0,15.36,16
74.08333333333333,24.0,80.0,30.0,12.513048744765959,7.8,5.0,18.0,1.0,5.77581163127746,11.29,4
78.27272727272727,11.0,80.0,65.0,4.350358586911054,31.0,2.0,40.0,22.0,9.0,13.5,8
74.08333333333333,24.0,80.0,30.0,12.513048744765959,13.4,5.0,25.0,4.0,7.709734106958553,11.18,4
63.583333333333336,12.0,80.0,45.0,15.168269146111856,16.666666666666668,3.0,25.0,12.0,5.90668171555645,14.21,8
62.63157894736842,19.0,80.0,35.0,12.604136857713735,6.0,3.0,11.0,3.0,3.559026084010437,13.14,8
73.5,10.0,80.0,40.0,13.425721582097552,9.5,2.0,15.0,4.0,5.5,14.08,8
67.8125,16.0,80.0,35.0,12.11516998436258,3.0,2.0,3.0,3.0,0.0,13.47,8
71.5,14.0,80.0,49.0,9.029712857323553,25.333333333333332,3.0,46.0,13.0,14.70449666674185,13.08,8
